Unnamed: 0,company_name,company_rating,industry,size,type,years_old,location
3097,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3098,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3099,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3100,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3101,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3102,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3103,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3104,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
3105,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3106,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
3107,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
3108,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
3109,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
3110,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
3111,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
3112,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
3113,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
3114,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3115,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3116,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3117,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3118,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3119,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3120,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3121,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3122,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
3123,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3124,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
3125,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
3126,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
3127,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
3128,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
3129,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
3130,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
3131,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Jaipur
3132,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3133,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3134,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3135,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3136,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3137,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3138,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3139,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3140,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
3141,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3142,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
3143,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
3144,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
3145,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
3146,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
3147,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
3148,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
3149,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
3150,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3151,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3152,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3153,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3154,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3155,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3156,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3157,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3158,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
3159,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3160,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
3161,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
3162,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
3163,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
3164,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
3165,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
3166,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
3167,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
3168,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3169,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3170,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3171,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3172,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3173,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3174,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3175,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3176,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
3177,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3178,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
3179,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
3180,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
3181,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
3182,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
3183,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
3184,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
3185,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
3186,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3187,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Jaipur
3188,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Chennai
3189,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Jaipur
3190,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Jaipur
3191,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Jaipur
3192,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Jaipur
3193,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Jaipur
3194,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Jaipur
3195,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Jaipur
3196,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,Jaipur
3197,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Jaipur
3198,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Jaipur
3199,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Jaipur
3200,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Jaipur
3201,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Jaipur
3202,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Jaipur
3203,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Jaipur
3204,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3205,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3206,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3207,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3208,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3209,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3210,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3211,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3212,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
3213,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3214,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
3215,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
3216,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
3217,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
3218,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
3219,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
3220,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
3221,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
3222,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3223,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3224,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3225,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3226,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3227,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3228,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3229,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3230,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
3231,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3232,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
3233,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
3234,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
3235,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
3236,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
3237,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
3238,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
3239,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
3240,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3241,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3242,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3243,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3244,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3245,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3246,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3247,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3248,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
3249,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3250,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
3251,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
3252,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
3253,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
3254,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
3255,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
3256,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
3257,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
3258,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3259,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3260,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3261,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3262,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3263,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3264,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3265,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3266,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
3267,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3268,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
3269,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
3270,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
3271,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
3272,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
3273,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
3274,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
3275,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
3276,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3277,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3278,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3279,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3280,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3281,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3282,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3283,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3284,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
3285,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3286,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
3287,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
3288,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
3289,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
3290,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
3291,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
3292,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
3293,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
3294,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3295,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3296,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3297,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3298,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3299,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3300,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3301,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3302,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
3303,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3304,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
3305,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
3306,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
3307,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
3308,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
3309,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
3310,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
3311,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
3312,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3313,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3314,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3315,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3316,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3317,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3318,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3319,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3320,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
3321,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3322,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
3323,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
3324,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
3325,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
3326,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
3327,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
3328,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
3329,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
3330,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3331,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3332,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3333,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3334,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3335,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3336,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3337,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3338,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
3339,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3340,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
3341,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
3342,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
3343,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
3344,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
3345,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
3346,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
3347,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
3348,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3349,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3350,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3351,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3352,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3353,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3354,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3355,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3356,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
3357,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3358,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
3359,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
3360,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
3361,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
3362,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
3363,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
3364,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
3365,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
3366,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3367,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3368,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3369,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3370,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3371,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3372,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3373,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3374,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Jaipur
3375,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Jaipur
3376,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,Jaipur
3377,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Jaipur
3378,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Jaipur
3379,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Jaipur
3380,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Jaipur
3381,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Jaipur
3382,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Jaipur
3383,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Jaipur
3384,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3385,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3386,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3387,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3388,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
3389,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3390,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
3391,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
3392,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
3393,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
3394,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
3395,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
3396,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
3397,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
3398,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
3399,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
3400,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
3401,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
3402,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
3403,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
3404,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
3405,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
3406,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
